Gene_id	T14A	T0A	T0B	T14B
MSTRG.10466	0	0	0	0
MSTRG.10467	0	0	0	0
MSTRG.10468	0	0	0	0
MSTRG.10469	0	0	0	0
MSTRG.1047	0	0	0	0
MSTRG.10470	0	0	0	0
MSTRG.10471	0	0	0	0
MSTRG.10472	0	0	0	0
MSTRG.10473	0	0	0	0
MSTRG.10474	0	0	0	0
MSTRG.10475	0	0	0	0
MSTRG.10476	0	0	0	0
MSTRG.10477	0	0	0	0
MSTRG.10478	0	0	0	0
MSTRG.10479	0	0	0	0
MSTRG.1048	0	0	0	0
MSTRG.10480	0	0	0	0
MSTRG.10481	0	0	0	0
MSTRG.10482	0	0	0	0
MSTRG.10483	0	0	0	0
MSTRG.10484	0	0	0	0
MSTRG.10485	0	0	0	0
MSTRG.10486	0	0	0	0
MSTRG.10487	0	0	0	0
MSTRG.10488	0	0	0	0
MSTRG.10489	0	0	0	0
MSTRG.1049	0	0	0	0
MSTRG.10490	0	0	0	0
MSTRG.10491	0	0	0	0
MSTRG.10492	0	0	0	0
MSTRG.10493	0	0	0	0
MSTRG.10494	0	0	0	0
MSTRG.10495	0	0	0	0
MSTRG.10496	0	0	0	0
MSTRG.10497	0	0	0	0
MSTRG.10498	0	0	0	0
MSTRG.10499	0	0	0	0
MSTRG.105	0	0	0	0
MSTRG.1050	0	0	0	0
MSTRG.10500	0	0	0	0
MSTRG.10501	0	0	0	0
MSTRG.10502	0	0	0	0
MSTRG.10503	0	0	0	0
MSTRG.10504	0	0	0	0
MSTRG.10505	0	0	0	0
MSTRG.10506	0	0	0	0
MSTRG.10507	0	0	0	0
MSTRG.10508	0	0	0	0
MSTRG.10509	0	0	0	0
MSTRG.1051	0	0	0	0
MSTRG.10510	0	0	0	0
MSTRG.10511	0	0	0	0
MSTRG.10512	0	0	0	0
MSTRG.10513	0	0	0	0
MSTRG.10514	0	0	0	0
MSTRG.10515	0	0	0	0
MSTRG.10516	0	0	0	0
MSTRG.10517	0	0	0	0
MSTRG.10518	0	0	0	0
MSTRG.10519	0	0	0	0
MSTRG.1052	0	0	0	0
MSTRG.10520	0	0	0	0
MSTRG.10521	0	0	0	0
MSTRG.10522	0	0	0	0
MSTRG.10523	0	0	0	0
MSTRG.10524	0	0	0	0
MSTRG.10525	0	0	0	0
MSTRG.10526	0	0	0	0
MSTRG.10527	0	0	0	0
MSTRG.10528	0	0	0	0
MSTRG.10529	0	0	0	0
MSTRG.1053	0	0	0	0
MSTRG.10530	0	0	0	0
MSTRG.10531	0	0	0	0
MSTRG.10532	0	0	0	0
MSTRG.10533	0	0	0	0
MSTRG.10534	0	0	0	0
MSTRG.10535	0	0	0	0
MSTRG.10536	0	0	0	0
MSTRG.10537	0	0	0	0
MSTRG.10538	0	0	0	0
MSTRG.10539	0	0	0	0
MSTRG.1054	0	0	0	0
MSTRG.10540	0	0	0	0
MSTRG.10541	0	0	0	0
MSTRG.10542	0	0	0	0
MSTRG.10543	0	0	0	0
MSTRG.10544	0	0	0	0
MSTRG.10545	0	0	0	0
MSTRG.10546	0	0	0	0
MSTRG.10547	0	0	0	0
MSTRG.10548	0	0	0	0
MSTRG.10549	0	0	0	0
MSTRG.1055	0	0	0	0
MSTRG.10550	0	0	0	0
MSTRG.10551	0	0	0	0
MSTRG.10552	0	0	0	0
MSTRG.10553	0	0	0	0
MSTRG.10554	0	0	0	0
MSTRG.10555	0	0	0	0
MSTRG.10556	0	0	0	0
MSTRG.10557	0	0	0	0
MSTRG.10558	0	0	0	0
MSTRG.10559	0	0	0	0
MSTRG.1056	0	0	0	0
MSTRG.10560	0	0	0	0
MSTRG.10561	0	0	0	0
MSTRG.10562	0	0	0	0
MSTRG.10563	0	0	0	0
MSTRG.10564	0	0	0	0
MSTRG.10565	0	0	0	0
MSTRG.10566	0	0	0	0
MSTRG.10567	0	0	0	0
MSTRG.10568	0	0	0	0
MSTRG.10569	0	0	0	0
MSTRG.1057	0	0	0	0
MSTRG.10570	0	0	0	0
MSTRG.10571	0	0	0	0
MSTRG.10572	0	0	0	0
MSTRG.10573	0	0	0	0
MSTRG.10574	0	0	0	0
MSTRG.10575	0	0	0	0
MSTRG.10576	0	0	0	0
MSTRG.10577	0	0	0	0
MSTRG.10578	0	0	0	0
MSTRG.10579	0	0	0	0
MSTRG.1058	0	0	0	0
MSTRG.10580	0	0	0	0
MSTRG.10581	0	0	0	0
MSTRG.10582	0	0	0	0
MSTRG.10583	0	0	0	0
MSTRG.10584	0	0	0	0
MSTRG.10585	0	0	0	0
